file_index,text,Arg1_RawText,Arg1_CharacterSpanList,Arg2_RawText,Arg2_CharacterSpanList,Connective_RawText,Connective_CharacterSpanList,Sense,Type
1072,My child will be almost a year old before I start working fully.,My child will be almost a year old,"[[0, 34]]",I start working fully,"[[42, 63]]",before,"[[35, 41]]",Temporal.Asynchronous,Explicit
1073,"So she will be very strong, like that.",,[],"she will be very strong , like that","[[3, 37]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1074,Even those three months they gave us...,nan,nan,nan,nan,nan,nan,nan,nan
1075,But we're still praying that they extend this uh... leave as uh... the doctors... the hospitals say we should breastfeed exclusively for six months.,,[],we 're still praying that they extend this uh ... leave as uh ... the doctors ... the hospitals say we should breastfeed exclusively for six months,"[[4, 147]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1075,But we're still praying that they extend this uh... leave as uh... the doctors... the hospitals say we should breastfeed exclusively for six months.,But we 're still praying that they extend this uh ... leave,"[[0, 57]]",uh ... the doctors ... the hospitals say we should breastfeed exclusively for six months,"[[61, 147]]",as,"[[58, 60]]",Temporal.Synchrony,Explicit
1076,"So if they can extend this uh... leave to a period of six months, it will be better because even that time... well, God has helped me.","it will be better because even that time ... well , God has helped me","[[66, 133]]",if they can extend this uh ... leave to a period of six months,"[[3, 64]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1076,"So if they can extend this uh... leave to a period of six months, it will be better because even that time... well, God has helped me.","So it will be better because even that time ... well , God has helped me","[[0, 2], [66, 133]]",they can extend this uh ... leave to a period of six months,"[[6, 64]]",if,"[[3, 5]]",Contingency.Condition,Explicit
1076,"So if they can extend this uh... leave to a period of six months, it will be better because even that time... well, God has helped me.","So if they can extend this leave months , it will be better","[[0, 26], [33, 38], [58, 83]]","even that time ... well , God has helped me","[[92, 133]]",because,"[[84, 91]]",Contingency.Cause,Explicit
1077,There's a daycare next to my office.,nan,nan,nan,nan,nan,nan,nan,nan
1078,I take my kids there.,nan,nan,nan,nan,nan,nan,nan,nan
1079,"So while I'm here at work, I'll go feed her, go fin-... so that I will be able to do this uh, six months ehn.. six months full t-... uh mtschew, exclusively like they recommend.","I 'll go feed her , go fin -... so that I will be able to do this uh , six months ehn .. six months full t -... uh mtschew , exclusively like they recommend","[[27, 176]]",while I 'm here at work,"[[3, 25]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1079,"So while I'm here at work, I'll go feed her, go fin-... so that I will be able to do this uh, six months ehn.. six months full t-... uh mtschew, exclusively like they recommend.","So I 'll go feed her , go fin -... so that I will be able to do this uh , six months ehn .. six months full t -... uh mtschew , exclusively like they recommend","[[0, 2], [27, 176]]",I 'm here at work,"[[9, 25]]",while,"[[3, 8]]",Temporal.Synchrony,Explicit
1079,"So while I'm here at work, I'll go feed her, go fin-... so that I will be able to do this uh, six months ehn.. six months full t-... uh mtschew, exclusively like they recommend.","So while I 'm here at work , I 'll go feed her , go fin -...","[[0, 55]]","I will be able to do this uh , six months ehn .. six months full t -... uh mtschew , exclusively like they recommend","[[64, 176]]",so that,"[[56, 63]]",Contingency.Cause,Explicit
108,I was working.,nan,nan,nan,nan,nan,nan,nan,nan
1080,But some people won't be able to do it.,,[],some people won't be able to do it,"[[4, 38]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1081,"They won't be able to do it, due to their work.",nan,nan,nan,nan,nan,nan,nan,nan
1082,"It... those who work with private organisations, are the ones I pity the most.",nan,nan,nan,nan,nan,nan,nan,nan
1083,But ev-...,,[],ev -...,"[[4, 10]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1084,"Some people... even some government workers, cannot do it if there's no daycare in the office.","Some people ... even some government workers , cannot do it","[[0, 57]]",there 's no daycare in the office,"[[61, 93]]",if,"[[58, 60]]",Contingency.Condition,Explicit
1085,My saving grace is the fact that there's a daycare in my office.,nan,nan,nan,nan,nan,nan,nan,nan
1086,"If I hadn't had a daycare in my office, it wouldn't have been easy.",it wouldn't have been easy,"[[40, 66]]",I had n't had a daycare in my office,"[[3, 38]]",If,"[[0, 2]]",Contingency.Condition,Explicit
1087,"But that's what helped me, really, so I've been able to do it.",that 's what helped me,"[[4, 25]]",", really , so I 've been able to do it","[[25, 61]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1087,"But that's what helped me, really, so I've been able to do it.","But that 's what helped me , really","[[0, 33]]",I 've been able to do it,"[[38, 61]]",so,"[[35, 37]]",Contingency.Cause,Explicit
1088,The child has grown now.,nan,nan,nan,nan,nan,nan,nan,nan
1089,"Now, she eats.",nan,nan,nan,nan,nan,nan,nan,nan
109,Until the time we wanted to write the WAEC.,nan,nan,nan,nan,nan,nan,nan,nan
1090,So everything is alright.,,[],everything is alright,"[[3, 24]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1091,"Ehn... now in the office, as I am, it is...",nan,nan,nan,nan,nan,nan,nan,nan
1092,What I do is kind of like documentation work.,nan,nan,nan,nan,nan,nan,nan,nan
1093,Ehn.,nan,nan,nan,nan,nan,nan,nan,nan
1094,"When the ones who go out on assignment come back, I will ev...",I will ev...,"[[50, 62]]",the ones who go out on assignment come back,"[[5, 48]]",When,"[[0, 4]]",Temporal.Synchrony,Explicit
1095,"Or maybe... let's say I'm in charge of the staff, ehen what the staff does... people who go for training, who come back.",,[],"maybe ... let 's say I 'm in charge of the staff , ehen what the staff does ... people who go for training , who come back","[[3, 119]]",Or,"[[0, 2]]",Expansion.Alternative,Explicit
1096,It's administrative work.,nan,nan,nan,nan,nan,nan,nan,nan
1097,I colllect documents.,nan,nan,nan,nan,nan,nan,nan,nan
1098,People are...,nan,nan,nan,nan,nan,nan,nan,nan
1099,"Ah when they write application letters, they forward them to me before I take them to my boss who will then pass them to...",Ah they forward them to me,"[[0, 2], [40, 63]]",they write application letters before I take them to my boss who will then pass them to ...,"[[8, 38], [64, 123]]",when,"[[3, 7]]",Temporal.Synchrony,Explicit
1099,"Ah when they write application letters, they forward them to me before I take them to my boss who will then pass them to...","Ah when they write application letters , they forward them to me","[[0, 63]]",I take them to my boss who will then pass them to ...,"[[71, 123]]",before,"[[64, 70]]",Temporal.Asynchronous,Explicit
1099,"Ah when they write application letters, they forward them to me before I take them to my boss who will then pass them to...","Ah when they write application letters , they forward them to me before I take them to my boss","[[0, 93]]",who will pass them to ...,"[[94, 102], [108, 123]]",then,"[[103, 107]]",Temporal.Asynchronous,Explicit
11,I kept farming.,nan,nan,nan,nan,nan,nan,nan,nan
110,I couldn't make money.,nan,nan,nan,nan,nan,nan,nan,nan
1100,Everything.,nan,nan,nan,nan,nan,nan,nan,nan
1101,Even if people want to see...,,[],Even people want to see ...,"[[0, 4], [8, 29]]",if,"[[5, 7]]",Contingency.Condition,Explicit
1102,"If people want to do... maybe... like collaboration (sometimes, all these NYSC [National Youth Service Corps] students, they come, wanting to do some work for our Local Government now), they will write their application letters.","... like collaboration , all they will write their application letters","[[29, 51], [62, 67], [186, 227]]","people want to do ... maybe sometimes these NYSC [ National Youth Service Corps ] students , they come , wanting to do some work for our Local Government now )","[[3, 29], [53, 62], [68, 184]]",If,"[[0, 2]]",Contingency.Condition,Explicit
1103,I will be the one to process it.,nan,nan,nan,nan,nan,nan,nan,nan
1104,I will be the one to forward it... to go and give it to my boss.,nan,nan,nan,nan,nan,nan,nan,nan
1105,Then the boss will check it before...,,[],the boss will check it before ...,"[[5, 37]]",Then,"[[0, 4]]",Temporal.Asynchronous,Explicit
1105,Then the boss will check it before...,Then the boss will check it,"[[0, 27]]",...,"[[34, 37]]",before,"[[28, 34]]",Temporal.Asynchronous,Explicit
1106,"Even when the boss wants to reply, I will still be the one to still...",Even I will still be the one to still ...,"[[0, 4], [35, 70]]",the boss wants to reply,"[[10, 33]]",when,"[[5, 9]]",Contingency.Condition,Explicit
1107,"He will still channel the thing through me, then I will give the person the reply.",He will still channel the thing through me,"[[0, 42]]",I will give the person the reply,"[[49, 81]]",then,"[[44, 48]]",Temporal.Asynchronous,Explicit
1108,"Whether he gets a favourable letter or whether the thing... the deal will not work out, I'll still be the one to pass... to tell them.",Whether he gets a favourable letter I 'll still be the one to pass ... to tell them,"[[0, 35], [88, 133]]",whether the thing ... the deal will not work out,"[[39, 86]]",or,"[[36, 38]]",Expansion.Alternative,Explicit
1109,"Even during promotion exercises and all these things, I am still the one who hands over the letters to the staff members.",nan,nan,nan,nan,nan,nan,nan,nan
111,And my uncle didn't have any money either.,,[],my uncle didn't have any money either,"[[4, 41]]",And,"[[0, 3]]",Expansion.Conjunction,Explicit
1110,This is what they've done.,nan,nan,nan,nan,nan,nan,nan,nan
1111,I started working at uh... the University of Ibadan here.,nan,nan,nan,nan,nan,nan,nan,nan
1112,"I'm an electrician, which they call onise ina.",nan,nan,nan,nan,nan,nan,nan,nan
1113,I'm working there.,nan,nan,nan,nan,nan,nan,nan,nan
1114,I've served...,nan,nan,nan,nan,nan,nan,nan,nan
1115,I almost uh...,nan,nan,nan,nan,nan,nan,nan,nan
1116,"At least, I'm up to uh... thirty five, or thirty four years in service now.",nan,nan,nan,nan,nan,nan,nan,nan
1117,"The work I'm doing, I like it even though it's a dangerous job, it's the li-... work.","The work I 'm doing , I like it even","[[0, 34]]",it 's a dangerous job,"[[42, 62]]",though,"[[35, 41]]",Comparison.Concession,Explicit
1118,But I still like it because I'm good at it.,,[],I still like it because I 'm good at it,"[[4, 42]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1118,But I still like it because I'm good at it.,But I still like it,"[[0, 19]]",I 'm good at it,"[[28, 42]]",because,"[[20, 27]]",Contingency.Cause,Explicit
1119,So I've been doing the work very well.,,[],I 've been doing the work very well,"[[3, 37]]",So,"[[0, 2]]",Contingency.Cause,Explicit
112,One of his in-laws was even sick.,nan,nan,nan,nan,nan,nan,nan,nan
1120,No problem.,nan,nan,nan,nan,nan,nan,nan,nan
1121,"Uh... everything we're doing here (we lay cables, we do wiring, we wire homes), when the university gets electricity, we're the ones who do it.","Uh ... everything we 're doing here ( we lay cables , we do wiring we wire homes we 're the ones who do it","[[0, 62], [64, 77], [118, 142]]",the university gets electricity,"[[85, 116]]",when,"[[80, 84]]",Contingency.Condition,Explicit
1122,"We do m-... we mount uh... tre-... transformer, we mount RI-... RMU.",nan,nan,nan,nan,nan,nan,nan,nan
1123,"Lots, lots of things, that's what we are uh... using.",nan,nan,nan,nan,nan,nan,nan,nan
1124,"We lay cables, but when we want to lay cables (that big one, the cable, if you carry it, it's a big one), we will lay it in a gutter which they dig for us.",We lay cables we will lay it in a gutter which they dig for us,"[[0, 13], [106, 154]]","when we want to lay cables ( that big one , the cable , if you carry it , it 's a big one ) ,","[[19, 105]]",but,"[[15, 18]]",Comparison.Contrast,Explicit
1124,"We lay cables, but when we want to lay cables (that big one, the cable, if you carry it, it's a big one), we will lay it in a gutter which they dig for us.",We lay cables but we will lay it in a gutter which they dig for us,"[[0, 13], [15, 18], [106, 154]]","we want to lay cables ( that big one , the cable , if you carry it , it 's a big one ) ,","[[24, 105]]",when,"[[19, 23]]",Temporal.Synchrony,Explicit
1124,"We lay cables, but when we want to lay cables (that big one, the cable, if you carry it, it's a big one), we will lay it in a gutter which they dig for us.","lay cables ( that big one , the cable it 's a big one we will lay it in a gutter which they","[[35, 70], [89, 103], [106, 143]]",you carry it,"[[75, 87]]",if,"[[72, 74]]",Contingency.Condition,Explicit
1125,"After that, we will install lights.",nan,nan,nan,nan,nan,nan,nan,nan
1126,The lights make everyone cheer.,nan,nan,nan,nan,nan,nan,nan,nan
1127,Because they know we've finished.,,[],they know we 've finished,"[[8, 32]]",Because,"[[0, 7]]",Contingency.Cause,Explicit
1128,But it's dangerous work for a novice!,,[],it 's dangerous work for a novice,"[[4, 36]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1129,"But a person who's sure he's mastered it, he'll concentrate on what he's doing.",he 'll concentrate on what he 's doing,"[[42, 78]]","a person who 's sure he 's mastered it ,","[[4, 41]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
113,"All the money he had, he used for his hospital bills.",nan,nan,nan,nan,nan,nan,nan,nan
1130,"By then, even though the university doesn't pay us that much for the work we're doing, we know that we're still working.",By then even we know that we 're still working,"[[0, 7], [9, 13], [87, 119]]",the university doesn't pay us that much for the work we 're doing,"[[21, 85]]",though,"[[14, 20]]",Comparison.Concession,Explicit
1131,We're still doing it.,nan,nan,nan,nan,nan,nan,nan,nan
1132,And uh... there are a lot of people with us here.,,[],uh ... there are a lot of people with us here,"[[4, 48]]",And,"[[0, 3]]",Expansion.Conjunction,Explicit
1133,"We have uh... cable dressing, cable jointer section, we have overhead, we have uh... streetlights, we have the people doing wiring for houses.",nan,nan,nan,nan,nan,nan,nan,nan
1134,But ours is cable jointers.,,[],ours is cable jointers,"[[4, 26]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1135,"We are the ones who bring RMU, we are the ones who mount uh... transformers in the university.",nan,nan,nan,nan,nan,nan,nan,nan
1136,"Every high, high tension that we do, it's our section that's doing it.",nan,nan,nan,nan,nan,nan,nan,nan
1137,We're the ones doing everything.,nan,nan,nan,nan,nan,nan,nan,nan
1138,"Apart from that, we can do house wiring.",nan,nan,nan,nan,nan,nan,nan,nan
1139,"But in our own section here, it's only the laying of cables, connection of transformers, connection of uh... RMU.",,[],"in our own section here , it 's only the laying of cables , connection of transformers , connection of uh ... RMU","[[4, 112]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
114,"From there, one day, I told my uncle ""look at the WAEC, the WAEC is here.""",nan,nan,nan,nan,nan,nan,nan,nan
1140,That’s all we're doing in our own section here.,nan,nan,nan,nan,nan,nan,nan,nan
1141,"In this section, at least, we have three sections... two... or two.",nan,nan,nan,nan,nan,nan,nan,nan
1142,Uh... there is rewinding.,nan,nan,nan,nan,nan,nan,nan,nan
1143,Oh uh...,nan,nan,nan,nan,nan,nan,nan,nan
1144,We should...,nan,nan,nan,nan,nan,nan,nan,nan
1145,"We have ones who are re-... repairing transformers, we ones who connect transformers.",nan,nan,nan,nan,nan,nan,nan,nan
1146,"But in our section here, I am the station head, I am the overall boss in this section, who runs this place.",,[],"in our section here , I am the station head , I am the overall boss in this section , who runs this place","[[4, 106]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1147,We're the ones who mount all these places.,nan,nan,nan,nan,nan,nan,nan,nan
1148,We have...,nan,nan,nan,nan,nan,nan,nan,nan
1149,"If an... if they bring a form saying that there... it... see, there is a pro-... problem there, he will bring the form, we will fill it out, we will pass it on to our overall boss who will go and do the wor-... send us to s-... to go out, to uh... go and do the work.","an ... see , there is a pro-... problem there he will bring the form , we will fill it out we will pass it on to our overall boss who will go and do the","[[3, 8], [57, 94], [96, 139], [141, 202]]",if they bring a form saying that there ... it ...,"[[9, 56]]",If,"[[0, 2]]",Contingency.Condition,Explicit
1149,"If an... if they bring a form saying that there... it... see, there is a pro-... problem there, he will bring the form, we will fill it out, we will pass it on to our overall boss who will go and do the wor-... send us to s-... to go out, to uh... go and do the work.","If an ... ... see , there is a pro-... problem there he will bring the form , we will fill it out we will pass it on to our overall boss who will go and do the wor -... send","[[0, 8], [53, 94], [96, 139], [141, 215]]",they bring a form saying that there ... it,"[[12, 53]]",if,"[[9, 11]]",Contingency.Condition,Explicit
115,People had started registering.,nan,nan,nan,nan,nan,nan,nan,nan
1150,That's how we do it here.,nan,nan,nan,nan,nan,nan,nan,nan
1151,"For any other problem that comes up, first of all you'll fill out papers stating that there's a problem in this section, they want them... these people to come and do the repairs, before we can go.",that there they want them ... these people to come and do the repairs,"[[81, 91], [121, 178]]",we can go,"[[187, 196]]",before,"[[180, 186]]",Temporal.Asynchronous,Explicit
1152,It's because the boss has given instructions that we should not pass... go beyond his... our boundaries.,It 's,"[[0, 4]]",the boss has given instructions that we should not pass ... go beyond his ... our boundaries,"[[13, 103]]",because,"[[5, 12]]",Contingency.Cause,Explicit
1153,We're the ones doing all these things.,nan,nan,nan,nan,nan,nan,nan,nan
1154,"Uh... those who are under me, we're at least... we are... we're up to ten, or fifteen.",nan,nan,nan,nan,nan,nan,nan,nan
1155,"We have uh... ones who do nights, afternoons, and mornings.",nan,nan,nan,nan,nan,nan,nan,nan
1156,That is how we do... divided them up to do the work.,nan,nan,nan,nan,nan,nan,nan,nan
1157,"Those s-... the people who are on night shift now, they were here early in the morning.",nan,nan,nan,nan,nan,nan,nan,nan
